,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mass,Lum,contrast_thresh
45,M1V,27.1928,,7.560999870300293,3849,M,1,0.49,0.035,3e-06
59,M0Ve,48.7648,,7.361000061035156,3208,M,0,0.6,0.072,3e-06
69,M1Ve,19.56,8.371999740600586,6.578000068664551,3792,M,1,0.49,0.035,2e-06
83,M3.0V,16.8022,9.097999572753906,7.173999786376952,3584,M,3,0.36,0.015,3e-06
109,M3.3V,15.8328,9.100000381469727,7.1459999084472665,3412,M,3,0.36,0.015,3e-06
110,M3Ve+M4Ve,11.11,8.151000022888184,,0,M,3,0.36,0.015,2e-06
114,M0Ve,26.9008,8.177000045776367,6.428999900817871,4048,M,0,0.6,0.072,2e-06
151,M1Ve,22.4041,9.336999893188477,7.28000020980835,3652,M,1,0.49,0.035,3e-06
193,M0.0Ve,15.0578,7.776999950408935,6.0920000076293945,3940,M,0,0.6,0.072,7e-07
198,M4.0Ve,5.9874,8.262999534606934,6.005000114440918,3242,M,4,0.2,0.0055,2e-06
242,M2V,7.7048,7.065999984741211,5.257999897003174,3651,M,2,0.44,0.023,7e-07
252,M2.0Ve,7.0329,7.388999938964844,5.605000019073486,3640,M,2,0.44,0.023,7e-07
255,M2Ve,34.029,9.100000381469727,7.125,0,M,2,0.44,0.023,3e-06
270,M0Vk,34.8757,,7.72100019454956,4006,M,0,0.6,0.072,3e-06
298,M0.5,53.111000000000004,9.5,7.504000186920166,3990,M,0,0.6,0.072,3e-06
409,M0,36.6713,,7.790999889373778,4004,M,0,0.6,0.072,3e-06
502,M1,14.3787,7.929999828338622,6.239999771118164,3729,M,1,0.49,0.035,7e-07
510,M3Ve,11.1359,7.690000057220459,5.679999828338622,3431,M,3,0.36,0.015,7e-07
552,M1VeBa1,9.7248,6.5929999351501465,4.830999851226807,3742,M,1,0.49,0.035,3e-07
585,M2Ve,14.8604,8.10099983215332,6.085999965667725,3515,M,2,0.44,0.023,2e-06
600,M4IVe,20.8587,9.109000205993652,7.1500000953674325,3290,M,4,0.2,0.0055,3e-06
600,M4IVe,20.8587,9.109000205993652,7.1500000953674325,3290,M,4,0.2,0.0055,3e-06
615,M2Ve,15.9564,8.598999977111816,6.607999801635742,3481,M,2,0.44,0.023,2e-06
618,M0Ve,27.3734,8.645999908447267,6.769999980926514,3797,M,0,0.6,0.072,2e-06
